[140563052738368] | 05:15:02 | INFO | GENERAL | Scraping process initiated
[140563052738368] | 05:15:07 | INFO | GENERAL | Agent is Mozilla/5.0 (Windows NT 10.0; rv:65.0) Gecko/20100101 Firefox/65.0
[140562808817408] | 05:15:08 | INFO | ('MURCIA', 'Gasóleo B') | Initializing
[140562850764544] | 05:15:08 | INFO | ('NAVARRA', 'Gasolina 95 E10') | Initializing
[140562859157248] | 05:15:08 | INFO | ('BIZKAIA', 'Gasolina 98 E5') | Initializing
[140562901104384] | 05:15:08 | INFO | ('NAVARRA', 'Gasolina 98 E5') | Initializing
[140562667337472] | 05:15:08 | INFO | ('CANTABRIA', 'Gasóleo Premium') | Initializing
[140562658944768] | 05:15:08 | INFO | ('CÓRDOBA', 'Gasolina 95 E10') | Initializing
[140562650552064] | 05:15:08 | INFO | ('MURCIA', 'Gasolina 95 E5') | Initializing
[140562642159360] | 05:15:08 | INFO | ('CÁCERES', 'Bioetanol') | Initializing
[140562633766656] | 05:15:08 | INFO | ('ÁVILA', 'Gasóleo B') | Initializing
[140562625373952] | 05:15:08 | INFO | ('BARCELONA', 'Gasóleo A habitual') | Initializing
[140562616981248] | 05:15:08 | INFO | ('GIRONA', 'Gasolina 95 E10') | Initializing
[140561864455936] | 05:15:08 | INFO | ('ASTURIAS', 'Gas natural comprimido') | Initializing
[140561856063232] | 05:15:08 | INFO | ('CEUTA', 'Gasolina 95 E5 Premium') | Initializing
[140561847670528] | 05:15:08 | INFO | ('BARCELONA', 'Gasolina 95 E5') | Initializing
[140561839277824] | 05:15:08 | INFO | ('TERUEL', 'Gases licuados del petróleo') | Initializing
[140561830885120] | 05:15:08 | INFO | ('CIUDAD REAL', 'Gas natural licuado') | Initializing
[140561822492416] | 05:15:08 | INFO | ('ALICANTE', 'Gases licuados del petróleo') | Initializing
[140561814099712] | 05:15:08 | INFO | ('TOLEDO', 'Biodiésel') | Initializing
[140561327585024] | 05:15:08 | INFO | ('VALENCIA / VALÈNCIA', 'Hidrógeno') | Initializing
[140561319192320] | 05:15:08 | INFO | ('BADAJOZ', 'Hidrógeno') | Initializing
[140561310799616] | 05:15:08 | INFO | ('BALEARS (ILLES)', 'Gasolina 95 E10') | Initializing
[140561302406912] | 05:15:08 | INFO | ('BARCELONA', 'Hidrógeno') | Initializing
[140561294014208] | 05:15:08 | INFO | ('LLEIDA', 'Gasolina 95 E5') | Initializing
[140561285621504] | 05:15:08 | INFO | ('TOLEDO', 'Gasolina 95 E5') | Initializing
[140561277228800] | 05:15:08 | INFO | ('BADAJOZ', 'Gas natural licuado') | Initializing
[140562859157248] | 05:15:28 | INFO | ('BIZKAIA', 'Gasolina 98 E5') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30
[140562808817408] | 05:15:29 | INFO | ('MURCIA', 'Gasóleo B') | Agent is Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0
[140561327585024] | 05:15:30 | INFO | ('VALENCIA / VALÈNCIA', 'Hidrógeno') | Agent is Mozilla/5.0 (Windows NT 10.0; rv:65.0) Gecko/20100101 Firefox/65.0
[140562616981248] | 05:15:32 | INFO | ('GIRONA', 'Gasolina 95 E10') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0
[140561864455936] | 05:15:33 | INFO | ('ASTURIAS', 'Gas natural comprimido') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36
[140562633766656] | 05:15:33 | INFO | ('ÁVILA', 'Gasóleo B') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0
[140561310799616] | 05:15:33 | INFO | ('BALEARS (ILLES)', 'Gasolina 95 E10') | Agent is Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0
[140561285621504] | 05:15:34 | INFO | ('TOLEDO', 'Gasolina 95 E5') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
[140561327585024] | 05:15:34 | INFO | ('VALENCIA / VALÈNCIA', 'Hidrógeno') | Combination without results
[140562850764544] | 05:15:34 | INFO | ('NAVARRA', 'Gasolina 95 E10') | Agent is Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0
[140561814099712] | 05:15:35 | INFO | ('TOLEDO', 'Biodiésel') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0
[140562901104384] | 05:15:35 | INFO | ('NAVARRA', 'Gasolina 98 E5') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36
[140562625373952] | 05:15:36 | INFO | ('BARCELONA', 'Gasóleo A habitual') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0
[140562650552064] | 05:15:36 | INFO | ('MURCIA', 'Gasolina 95 E5') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0
[140562859157248] | 05:15:38 | INFO | ('BIZKAIA', 'Gasolina 98 E5') | 4 pages found
[140562859157248] | 05:15:38 | INFO | ('BIZKAIA', 'Gasolina 98 E5') | Crawling page = 1/4
[140562642159360] | 05:15:38 | INFO | ('CÁCERES', 'Bioetanol') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17
[140562658944768] | 05:15:38 | INFO | ('CÓRDOBA', 'Gasolina 95 E10') | Agent is Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0
[140562667337472] | 05:15:38 | INFO | ('CANTABRIA', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0
